Evoked Response
seconds	EEG	Trigger
86.096	-0.00275198841772772	0.545973231709929
86.098	-0.00388723239621237	0.900700784800222
86.1	-0.00488887077270057	1.04127663281725
86.102	-0.00568189208967809	0.978702444933981
86.104	-0.00618640760606833	0.756624185254977
86.106	-0.00633244524960069	0.438966960646487
86.108	-0.00608281930120703	0.0959420646547123
86.11	-0.00545732724693443	-0.208934187774018
86.112	-0.00454817791904829	-0.428721197752423
86.114	-0.00351677993080736	-0.538586182762903
86.116	-0.00256737213607518	-0.536678077444932
86.118	-0.00190154942889985	-0.440889959239126
86.12	-0.00166579128098066	-0.28269152510599
86.122	-0.00190840069457644	-0.0995472343381363
86.124	-0.00256084964654553	0.0725452190693932
86.126	-0.00345144680074814	0.20511395129373
86.128	-0.00434919596839959	0.281026370550572
86.13	-0.00502638628961587	0.295734483180634
86.132	-0.00532220862557012	0.256127621941796
86.134	-0.00518803164461039	0.177560040641916
86.136	-0.00469950719063163	0.0798535853209659
86.138	-0.00403119791301409	-0.016867352790169
86.14	-0.00340207325274055	-0.0957532991261638
86.142	-0.00300960014076826	-0.145682844343835
86.144	-0.00297305600138894	-0.162333894420354
86.146	-0.00330306857332658	-0.147897090103973
86.148	-0.00390561442055581	-0.10968992869717
86.15	-0.00461697593186202	-0.0580834415114559
86.152	-0.00525564474483695	-0.00421087950214606
86.154	-0.00567279421392031	0.0421057694239992
86.156	-0.0057863260758928	0.0738806129972071
86.158	-0.0055916734877458	0.0877562739071229
86.16	-0.00515111142936623	0.0840370072874479
86.162	-0.00456913223118171	0.0660732230015453
86.164	-0.00396316780529793	0.0392051388972938
86.166	-0.00343737508609445	0.00951888062388396
86.168	-0.00306451283856885	-0.0173375946308944
86.17	-0.00287836251654906	-0.0370798632723802
86.172	-0.00287633476619607	-0.0473307860075513
86.174	-0.00302897393837609	-0.047745647186349
86.176	-0.00329150691309937	-0.0397609009510871
86.178	-0.00361334756911422	-0.0260683949226546
86.18	-0.00394366788307423	-0.00994957475047809
86.182	-0.00423315131031367	0.00539181923636915
86.184	-0.00443313381784069	0.0173810149430619
86.186	-0.004493913414737	0.0244282948057265
86.188	-0.00436466958162597	0.0260571906864128
86.19	-0.00399797540297626	0.0228171558695434
86.192	-0.00336101861455389	0.0160291491608115
86.194	-0.00245229002983744	0.00743462299845958
86.196	-0.00131792006745732	-0.00117537170163216
86.198	-5.94480195439091E-5	-0.00828259781266596
86.2	0.00117316100483595	-0.0128663550869937
86.202	0.00220395843911037	-0.0145061386930313
86.204	0.00286357796702325	-0.013363090211998
86.206	0.00302276875122189	-0.0100622669185227
86.208	0.00261775776366273	-0.00551175303919768
86.21	0.00166190638653646	-0.00070008816831583
86.212	0.000243290537402865	0.00348919577666196
86.214	-0.00148808377187011	0.00641615811069644
86.216	-0.00333862118175846	0.00775916422049068
86.218	-0.00509230065481197	0.00752250365666452
86.22	-0.00653513442239337	0.00598590309551655
86.222	-0.00748430572167736	0.00361369531831014
86.224	-0.00782009323752691	0.000945682415105472
86.226	-0.00751343537099244	-0.00150852822563625
86.228	-0.00663936989679519	-0.00335390910958054
86.23	-0.00536908269171242	-0.00436168970817971
86.232	-0.0039395582433989	-0.00448424836429803
86.234	-0.00260687184841324	-0.0038361185786317
86.236	-0.00159447965343884	-0.00264948149683403
86.238	-0.00104969780623872	-0.00121574079457014
86.24	-0.00101922014398709	0.000174502360454827
86.242	-0.0014488883557465	0.00128231618496361
86.244	-0.00220601738838036	0.00195462561690531
86.246	-0.00311660478681831	0.00213826378058647
86.248	-0.00400660849241094	0.0018744381953872
86.25	-0.00473696380968286	0.0012774369304217
86.252	-0.00522514422386007	0.000503576647011478
86.254	-0.00545011454436183	-0.000282705523117553
86.256	-0.00544161373525553	-0.000939147788885806
86.258	-0.00525864627302818	-0.00136745762498364
86.26	-0.0049650848175935	-0.00152398642447714
86.262	-0.0046109170876373	-0.00141910191999622
86.264	-0.00422488933282673	-0.00110718498414006
86.266	-0.00381885087681096	-0.000670563983255909
86.268	-0.00339866966663477	-0.000201185599887179
86.27	-0.00297428551519992	0.000216482143315843
86.272	-0.00256361302855731	0.000518644707364475
86.274	-0.00218996165387495	0.000669892743265484
86.276	-0.00187684748615843	0.000664991827630025
86.278	-0.00164462274927016	0.000525336240103541
86.28	-0.00151027534752144	0.000291437271274501
86.282	-0.0014881305592624	1.32870360553502E-5
86.284	-0.00158832163808287	-0.000259447786556779
86.286	-0.00181212531067614	-0.000485695283662117
86.288	-0.00214625203048998	-0.000638531010800308
86.29	-0.00255981846814013	-0.000707484379627705
86.292	-0.00300729861342232	-0.00069769458636272
86.294	-0.00343814139217488	-0.000626522237178269
86.296	-0.00380968794600836	-0.000518556204444226
86.298	-0.00409708971957017	-0.000400086498418491
86.3	-0.00429508247511435	-0.000294077592679633
86.302	-0.00441161199555995	-0.000216496828643892
86.304	-0.00445847426129498	-0.000174502289078733
86.306	-0.00444533917332292	-0.000166525373842087
86.308	-0.00438069112233907	-0.000183896661132683
86.31	-0.00427911190859407	-0.000213514560576395
86.312	-0.00417084998010168	-0.000241064641785942
86.314	-0.00410735293439824	-0.000254279102452508
86.316	-0.00415663730441168	-0.000245647964983653
86.318	-0.00438626508362046	-0.000213997235912089
86.32	-0.00483815662681033	-0.000164557248899282
86.322	-0.00550506610416089	-0.000107523763363207
86.324	-0.0063197654270864	-5.55129112741665E-5
86.326	-0.00716345757691197	-2.05768885921301E-5
86.328	-0.0078917302551152	-1.15073844374074E-5
86.33	-0.00836900130745766	-3.20196747326397E-5
86.332	-0.00849973519029144	-8.01455837506888E-5
86.334	-0.00824725936573211	-0.000148846489322492
86.336	-0.0076363826916291	-0.0002275671846001
86.338	-0.00674145265990471	-0.0003042763691337
86.34	-0.00566554764239645	-0.000367543388198586
86.342	-0.00451838768875015	-0.000408336129972408
86.344	-0.0033994552514342	-0.000421347423606818
86.346	-0.00238908051728962	-0.000405688506000544
86.348	-0.00154598822621775	-0.000364811878004661
86.35	-0.000907505086342206	-0.000305662298097517
86.352	-0.000489401144095814	-0.000237276395752841
86.354	-0.000285219511863722	-0.000169199952463919
86.356	-0.000267356719184163	-0.000110069162191917
86.358	-0.000391941487458358	-6.65635080179478E-5
86.36	-0.000607311361688718	-4.27954659163688E-5
86.362	-0.000864348126224417	-4.01168407548144E-5
86.364	-0.00112738941064378	-5.72893609288639E-5
86.366	-0.00138488344107713	-9.09479630829981E-5
86.368	-0.00165723563035635	-0.000136245663219471
86.37	-0.00199676298631195	-0.000187535375644734
86.372	-0.00247488596398717	-0.000238976642014394
86.374	-0.00315626243489573	-0.000285041647402369
86.376	-0.00406656754198964	-0.000320950094761917
86.378	-0.00516609003054577	-0.000343058836941234
86.38	-0.00634155443173954	-0.000349217738622333
86.382	-0.00742233501209991	-0.000339086999735938
86.384	-0.00821728323632044	-0.000314361285591577
86.386	-0.00856050160430927	-0.000278788551814067
86.388	-0.0083528353229076	-0.000237868240885191
86.39	-0.00758953354303149	-0.000198166212421932
86.392	-0.00636880541019205	-0.000166255343936202
86.394	-0.00487857474657337	-0.000147390175481804
86.396	-0.00336188944723642	-0.000144176827831863
86.398	-0.00206729513040797	-0.000155646400599308
86.4	-0.00119661268439689	-0.000177150384776604
86.402	-0.000864468967721481	-0.000201293932258178
86.404	-0.0010801237897482	-0.00021976124109915
86.406	-0.00175478397519995	-0.000225520632092691
86.408	-0.00272986551383542	-0.000214697645702464
86.41	-0.00381613037016765	-0.000187488561806679
