Evoked Response
seconds	EEG
17.6	-4.67808
17.602	-4.68192
17.604	-4.68224
17.605	-4.68448
17.607	-4.68512
17.609	-4.68384
17.611	-4.68192
17.613	-4.68448
17.615	-4.68448
17.617	-4.68096
17.619	-4.67936
17.621	-4.68128
17.623	-4.68352
17.625	-4.68512
17.627	-4.68256
17.629	-4.68064
17.631	-4.67616
17.633	-4.68032
17.635	-4.68064
17.637	-4.68064
17.639	-4.68352
17.641	-4.6832
17.643	-4.6816
17.645	-4.68256
17.646	-4.68128
17.648	-4.68256
17.65	-4.68544
17.652	-4.6816
17.654	-4.6784
17.656	-4.67936
17.658	-4.67936
17.66	-4.68256
17.662	-4.68512
17.664	-4.68416
17.666	-4.68288
17.668	-4.68352
17.67	-4.6832
17.672	-4.67776
17.674	-4.68
17.676	-4.68
17.678	-4.67936
17.68	-4.67872
17.682	-4.68352
17.684	-4.68032
17.686	-4.68
17.688	-4.67936
17.689	-4.68256
17.691	-4.68416
17.693	-4.68448
17.695	-4.68704
17.697	-4.68608
17.699	-4.68448
17.701	-4.68704
17.703	-4.68384
17.705	-4.6816
17.707	-4.68352
17.709	-4.68
17.711	-4.6848
17.713	-4.6832
17.715	-4.6832
17.717	-4.67936
17.719	-4.68096
17.721	-4.68384
17.723	-4.6848
17.725	-4.68352
17.727	-4.68864
17.729	-4.68864
17.73	-4.68288
17.732	-4.67936
17.734	-4.68288
17.736	-4.68096
17.738	-4.6832
17.74	-4.68096
17.742	-4.68192
17.744	-4.6816
17.746	-4.68224
17.748	-4.6848
17.75	-4.6848
17.752	-4.67904
17.754	-4.68064
17.756	-4.68384
17.758	-4.68256
17.76	-4.68256
17.762	-4.68576
17.764	-4.68544
17.766	-4.6832
17.768	-4.68288
17.77	-4.6864
17.771	-4.6816
17.773	-4.68192
17.775	-4.68192
17.777	-4.67936
17.779	-4.67776
17.781	-4.68352
17.783	-4.68576
17.785	-4.68352
17.787	-4.68224
17.789	-4.6832
17.791	-4.68384
17.793	-4.68
17.795	-4.68
17.797	-4.68256
17.799	-4.68224
17.801	-4.68032
17.803	-4.68224
17.805	-4.68512
17.807	-4.6848
17.809	-4.6832
17.811	-4.6816
17.813	-4.67776
17.814	-4.67968
17.816	-4.6816
17.818	-4.6816
17.82	-4.68288
17.822	-4.68384
17.824	-4.68576
17.826	-4.6864
17.828	-4.68416
17.83	-4.6848
17.832	-4.68064
17.834	-4.6832
17.836	-4.68128
17.838	-4.6816
17.84	-4.68384
17.842	-4.68288
17.844	-4.6832
17.846	-4.68416
17.848	-4.6848
17.85	-4.6864
17.852	-4.68448
17.854	-4.68224
17.855	-4.68512
17.857	-4.68352
17.859	-4.68576
17.861	-4.68704
17.863	-4.68928
17.865	-4.68768
17.867	-4.6864
17.869	-4.68928
17.871	-4.68736
17.873	-4.68864
17.875	-4.68384
17.877	-4.68288
17.879	-4.68704
17.881	-4.6864
17.883	-4.68704
17.885	-4.68416
17.887	-4.68416
17.889	-4.68608
17.891	-4.68576
17.893	-4.68704
17.895	-4.68448
17.896	-4.68384
17.898	-4.68704
17.9	-4.6848
17.902	-4.688
17.904	-4.68864
17.906	-4.68576
17.908	-4.68608
17.91	-4.68672
17.912	-4.68352
17.914	-4.68512
17.916	-4.68544
17.918	-4.68256
17.92	-4.68352
17.922	-4.68608
17.924	-4.68224
17.926	-4.68288
17.928	-4.68256
17.93	-4.68704
17.932	-4.68256
17.934	-4.67968
17.936	-4.68096
17.938	-4.67808
17.939	-4.67968
17.941	-4.68
17.943	-4.68032
17.945	-4.68544
17.947	-4.68224
17.949	-4.68128
17.951	-4.67776
17.953	-4.67552
17.955	-4.67712
17.957	-4.67808
17.959	-4.67616
17.961	-4.67968
17.963	-4.67936
17.965	-4.67872
17.967	-4.67968
17.969	-4.68064
17.971	-4.6752
17.973	-4.67488
17.975	-4.68032
17.977	-4.67648
17.979	-4.67616
17.98	-4.67904
17.982	-4.68256
17.984	-4.6832
17.986	-4.6864
17.988	-4.68736
17.99	-4.68544
17.992	-4.68416
17.994	-4.68192
17.996	-4.67968
17.998	-4.68256
18	-4.67936
18.002	-4.68576
18.004	-4.68704
18.006	-4.68704
18.008	-4.68736
18.01	-4.68672
18.012	-4.6832
18.014	-4.68384
18.016	-4.6832
18.018	-4.68384
18.02	-4.6864
18.021	-4.68544
18.023	-4.68352
18.025	-4.6848
18.027	-4.68448
18.029	-4.68384
18.031	-4.68064
18.033	-4.67776
18.035	-4.6784
18.037	-4.68
18.039	-4.67552
18.041	-4.68096
18.043	-4.68064
18.045	-4.67904
18.047	-4.68192
18.049	-4.68064
18.051	-4.67648
18.053	-4.67616
18.055	-4.67584
18.057	-4.67936
18.059	-4.68096
18.061	-4.6784
18.063	-4.68096
18.064	-4.67904
18.066	-4.67712
